symbol,side,ts,price,usdt,qty,pnl,reason
XAUT/USDT,BUY,1767271500000,4342.5678,30.0,0.006901446650988385,,
USDC/USDT,BUY,1767271500000,1.0033026,30.0,29.87134688976187,,
SOL/USDT,BUY,1767271500000,125.36022,30.0,0.23907105459770253,,
BTC/USDT,BUY,1767271500000,88143.936,30.0,0.0003400120457520753,,
ETH/USDT,BUY,1767271500000,2990.5391400000003,30.0,0.010021604331853017,,
SOL/USDT,SELL,1767344400000,128.10899981195098,30.627153688499995,0.23907105459770253,0.6271536884999946,GAIN
SOL/USDT,BUY,1767345300000,128.96742,30.0,0.23238427193472583,,
ETH/USDT,SELL,1767348000000,3056.112841249737,30.627153688499995,0.010021604331853017,0.6271536884999946,GAIN
ETH/USDT,BUY,1767348900000,3067.64304,30.0,0.00976971557942413,,
BTC/USDT,SELL,1767371400000,90076.67249186878,30.62715368849999,0.0003400120457520753,0.6271536884999911,GAIN
ETH/USDT,SELL,1767371400000,3134.9074023202315,30.627153688499995,0.00976971557942413,0.6271536884999946,GAIN
BTC/USDT,BUY,1767372300000,90316.07160000001,30.0,0.00033183462775854386,,
ETH/USDT,BUY,1767372300000,3132.07164,30.0,0.009568746645910052,,
SOL/USDT,SELL,1767374100000,131.795295066711,30.627153688499998,0.23238427193472583,0.6271536884999982,GAIN
SOL/USDT,BUY,1767375000000,131.68284,30.0,0.22759229676395193,,
SOL/USDT,SELL,1767507300000,134.570256216822,30.6271536885,0.22759229676395193,0.6271536885000017,GAIN
SOL/USDT,BUY,1767508200000,134.68884,30.0,0.22251286743578755,,
BTC/USDT,SELL,1767574800000,92296.43661777678,30.627153688499995,0.00033183462775854386,0.6271536884999946,GAIN
BTC/USDT,BUY,1767575700000,93137.0022,30.0,0.00032178403096594404,,
ETH/USDT,SELL,1767576600000,3200.7487314538616,30.627153688499995,0.009568746645910052,0.6271536884999946,GAIN
ETH/USDT,BUY,1767577500000,3217.3017600000003,30.0,0.009315259256253289,,
SOL/USDT,SELL,1767640500000,137.642168929122,30.627153688499998,0.22251286743578755,0.6271536884999982,GAIN
SOL/USDT,BUY,1767641400000,138.47639999999998,30.0,0.2164267701933326,,
XAUT/USDT,SELL,1767668400000,4437.787501278989,30.627153688499995,0.006901446650988385,0.6271536884999946,GAIN
XAUT/USDT,BUY,1767669300000,4460.5032,30.0,0.006718972872836409,,
ETH/USDT,SELL,1767708900000,3287.8476965566083,30.627153688499998,0.009315259256253289,0.6271536884999982,GAIN
SOL/USDT,SELL,1767708900000,141.51277894661996,30.62715368849999,0.2164267701933326,0.6271536884999911,GAIN
SOL/USDT,BUY,1767709800000,143.00544,30.0,0.20957244703418276,,
ETH/USDT,BUY,1767709800000,3312.50178,30.0,0.009047542308037643,,
SOL/USDT,SELL,1767798900000,135.44787420633597,28.386142442999994,0.20957244703418276,-1.6138575570000064,STOP
ETH/USDT,SELL,1767798900000,3137.442354680382,28.386142442999997,0.009047542308037643,-1.6138575570000029,STOP
SOL/USDT,BUY,1767799800000,136.05156,30.0,0.2202841334564631,,
ETH/USDT,BUY,1767799800000,3167.50236,30.0,0.009461713550230788,,
SOL/USDT,SELL,1767908700000,139.034769358698,30.627153688499995,0.2202841334564631,0.6271536884999946,GAIN
SOL/USDT,BUY,1767909600000,139.88922000000002,30.0,0.2142409543780428,,
